STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140223,0,-9999,0,111,11,27
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140224,0,-9999,0,72,-43,73
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140225,0,-9999,0,-16,-55,47
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140226,0,-9999,0,0,-88,52
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140227,5,-9999,10,-10,-110,53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140228,0,-9999,0,-38,-121,53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140301,0,-9999,0,22,-88,36
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140302,0,-9999,0,44,-10,31
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140303,0,-9999,0,-10,-88,52
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140304,0,-9999,0,-5,-110,36
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140305,0,-9999,3,-16,-66,43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140306,0,-9999,0,-38,-116,33
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140307,0,-9999,0,11,-88,21
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140308,0,-9999,0,128,-27,34
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140309,0,-9999,0,61,-10,47
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140310,8,-9999,15,67,-21,36
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140311,0,-9999,0,156,11,38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140312,109,-9999,0,78,28,22
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140313,15,-9999,38,28,-82,82
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140314,0,-9999,0,39,-88,63
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140315,3,-9999,0,139,33,65
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140316,0,0,0,28,-49,73
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140317,0,0,0,-27,-88,37
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140318,0,-9999,0,6,-66,37
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140319,0,-9999,0,50,-27,46
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140320,74,0,-9999,111,28,54
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140321,0,0,0,72,11,75
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140322,0,0,0,139,-21,63
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140323,0,0,0,67,-55,58
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140324,0,-9999,0,6,-82,57
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140325,0,-9999,0,39,-60,45
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140326,0,-9999,0,17,-43,116
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140327,0,-9999,0,78,-60,64
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140328,5,-9999,0,156,17,64
